工廠,儲存地點代號,地點描述(中),地址(中),地址(英),地點描述(英),更新資訊
GTM1,1921,三角貿易倉-GI,,,Tri-trade GI,Allen Zou 鄧芳筆 -2024/03/119
GTM1,1930,虛擬量產倉,,,Virtual GN,Allen Zou 鄧芳筆 -2024/03/120
GTM1,1931,虛擬樣品倉,,,Virtual SN,Allen Zou 鄧芳筆 -2024/03/121
GTM1,2630,GI 外倉-KY,中國深圳市鹽田區鹽田港保稅區南片區深圳嘉里鹽田港物流中心,,GI- KY,Allen Zou 鄧芳筆 -2024/03/122
GTM1,2640,GI 外倉-航耀,台中市梧棲區中橫十路147號,"147, Zhongheng 10th Rd., Wuqi Dist.",GI- HANG YAO,Allen Zou 鄧芳筆 -2024/03/123
GTM1,2710,AIP倉-保稅,台中市大甲區順帆路19號-外銷AIP區,"19, ShunFarn Rd, Dajia District",AIP- GB,Allen Zou 鄧芳筆 -2024/03/124
GTM1,2910,進口在途-保稅,,,Onway-GB,Allen Zou 鄧芳筆 -2024/03/125
GTM1,2930,虛擬量產倉-保稅,,,Virtual-GB,Allen Zou 鄧芳筆 -2024/03/126
GTM1,2931,虛擬樣品倉-保稅,,,Virtual-SB,Allen Zou 鄧芳筆 -2024/03/127
GTM1,2932,虛擬客製倉-保稅,,,Virtual-CB,Allen Zou 鄧芳筆 -2024/03/128
GVM1,2000,Raw Material,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Raw Material,Allen Zou 鄧芳筆 -2024/03/129
GVM1,2001,Shortage,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Shortage,Allen Zou 鄧芳筆 -2024/03/130
GVM1,2200,Frame,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Frame,Allen Zou 鄧芳筆 -2024/03/131
GVM1,2201,Painted Frame,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Painted Frame,Allen Zou 鄧芳筆 -2024/03/132
GVM1,2300,Finished Goods,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Finished Goods,Allen Zou 鄧芳筆 -2024/03/133
GVM1,2301,Return (Value),越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Return (Value),Allen Zou 鄧芳筆 -2024/03/134
GVM1,2A00,Sample,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Sample,Allen Zou 鄧芳筆 -2024/03/135
GVM1,2B00,Test Run,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Test Run,Allen Zou 鄧芳筆 -2024/03/136
GVM1,2C00,IncomingGoods NG,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",IncomingGoods NG,Allen Zou 鄧芳筆 -2024/03/137
GVM1,2C01,Semi-finished NG,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Semi-finished NG,Allen Zou 鄧芳筆 -2024/03/138
GVM1,2D00,Scrap,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",Scrap,Allen Zou 鄧芳筆 -2024/03/139
GVM1,2C02,FinishedGoods NG,越南胡志明市永新坊新加坡工業區 II-A  32 號路 19 號,"No. 19, VSIP II-A, Street 32, Vietnam – Singapore Industrial Park II-A, Vinh Tan Ward, Ho Chi Minh City, Vietnam .",FinishedGoods NG,Allen Zou 鄧芳筆 -2024/03/140
